pl_name,disc_year,discoverymethod,pl_orbper,pl_orbsmax,pl_rade,pl_masse,pl_bmasse,pl_dens,pl_eqt,pl_insol,pl_orbeccen,pl_orbincl,st_teff,st_rad,st_mass,st_lum,st_age,sy_dist
"HAT-P-39 b",2012,"Transit",3.54387000000,0.0509000000,17.60900000,1.90372000000000e+02,190.37200000,0.190000,1752.00,1915.6934,0.000000,87.00000,6430.00,1.625000,1.404000,0.60700,2.0000,697.00400000
"KOI-55 b",2011,"Orbital Brightness Modulation",0.24010400000,0.0060000000,0.75900000,4.40000000000000e-01,0.44000000,5.530000,,,,65.00000,27730.00,0.203000,0.496000,1.36000,,1231.02000000
"WTS-2 b",2014,"Transit",1.01870680000,0.0185500000,15.27786700,3.55969600000000e+02,355.96960000,0.540000,2000.00,2544.6509,0.000000,83.55000,5000.00,0.752000,0.820000,-0.28812,0.6000,1030.76834437
"KOI-55 c",2011,"Orbital Brightness Modulation",0.34288700000,0.0076000000,0.86700000,6.55000000000000e-01,0.65500000,5.520000,,,,65.00000,27730.00,0.203000,0.496000,1.36000,,1231.02000000
"Ross 458 c",2010,"Imaging",,1100.0000000000,14.01125000,1.90698000000000e+03,1906.98000000,3.810000,,,,,3965.42,0.562566,0.556419,-1.29769,0.5000,11.50940000
"Kepler-38 b",2012,"Transit",105.59900000000,0.4632000000,4.30000000,1.22000000000000e+02,122.00000000,,475.00,,0.032000,89.44200,5623.00,1.752000,0.941000,0.49161,10.0000,1174.59000000
"Kepler-30 d",2012,"Transit",143.34394000000,0.5000000000,8.80000000,2.31000000000000e+01,23.10000000,0.190000,308.00,1.9620,0.022000,89.84060,5498.00,0.950000,0.990000,-0.23658,2.0000,914.22100000
"ROXs 42 B b",2013,"Imaging",,157.0000000000,12.50000000,2.86000000000000e+03,2860.00000000,8.050000,1975.00,,0.580000,,3433.00,1.336580,1.000000,-0.79156,0.0027,143.59000000
"Kepler-50 c",2012,"Transit",9.37647000000,0.0870000000,2.17000000,8.20000000000000e+00,8.20000000,9.249213,1125.00,388.4440,0.000000,87.60000,6225.00,1.580000,1.240000,0.53582,3.8000,250.11000000
"WD 0806-661 b",2011,"Imaging",,2500.0000000000,12.60000000,2.54262725600000e+03,2542.62725600,6.980000,340.00,,,,9552.00,,0.620000,,2.1000,19.24440000
"Kepler-63 b",2013,"Transit",9.43415050000,0.0800000000,6.11000000,1.20000000000000e+02,120.00000000,3.000000,791.00,100.3710,0.450000,87.80600,5576.00,0.901000,0.984000,-0.15700,0.2100,194.03300000
"Kepler-77 b",2013,"Transit",3.57878087000,0.0450100000,10.76100000,1.36661000000000e+02,136.66100000,0.603000,1440.00,432.8710,0.000000,88.00000,5520.00,0.990000,0.950000,-0.04600,7.5000,639.41100000
"HATS-5 b",2014,"Transit",4.76338700000,0.0542000000,10.22300000,7.53230000000000e+01,75.32300000,0.390000,1025.00,183.2395,0.019000,89.30000,5304.00,0.871000,0.936000,-0.26800,3.6000,246.38400000
"WTS-1 b",2012,"Transit",3.35205700000,0.0470000000,16.70000000,1.27444000000000e+03,1274.44000000,1.610000,1500.00,,0.100000,85.50000,6250.00,1.150000,1.200000,0.08842,2.5500,2346.01000000
"HD 11506 d",2022,"Radial Velocity",26500.00000000000,18.2000000000,12.30000000,4.06820360960000e+03,4068.20360960,12.000000,,,0.290000,90.00000,6123.00,1.240000,1.220000,0.33685,2.5000,51.26100000
"CoRoT-26 b",2013,"Transit",4.20474000000,0.0526000000,14.12000000,1.65260000000000e+02,165.26000000,0.280000,1600.00,,0.000000,86.80000,5590.00,1.790000,1.090000,0.45100,8.6000,1045.18000000
"CoRoT-25 b",2013,"Transit",4.86069000000,0.0578000000,12.11000000,8.58100000000000e+01,85.81000000,0.150000,1330.00,,0.000000,84.50000,6040.00,1.190000,1.090000,0.14101,4.5000,1103.48000000
